2015-12-09 09:02:08.596315,Drive Thru,0,SIM
2015-12-09 09:02:09.784800,Lobby,0,SIM
2015-12-09 09:02:09.784800,Stockroom,2,SIM
2015-12-09 09:02:09.784800,Drive Thru,0,SIM
2015-12-09 09:02:10.967119,Lobby,0,SIM
2015-12-09 09:02:10.967119,Stockroom,2,SIM
2015-12-09 09:02:10.967119,Drive Thru,0,SIM
2015-12-09 09:02:12.149108,Lobby,0,SIM
2015-12-09 09:02:12.149108,Stockroom,2,SIM
2015-12-09 09:02:12.149108,Drive Thru,0,SIM
2015-12-09 09:02:13.332704,Lobby,0,SIM
2015-12-09 09:02:13.332704,Stockroom,2,SIM
2015-12-09 09:02:13.332704,Drive Thru,0,SIM
2015-12-09 09:02:14.521590,Lobby,0,SIM
2015-12-09 09:02:14.521590,Stockroom,2,SIM
2015-12-09 09:02:14.521590,Drive Thru,0,SIM
2015-12-09 09:02:15.719364,Lobby,0,SIM
2015-12-09 09:02:15.719364,Stockroom,2,SIM
2015-12-09 09:02:15.719364,Drive Thru,0,SIM
2015-12-09 09:06:25.518293,Lobby,4,SIM
2015-12-09 09:06:25.518293,Stockroom,2,SIM
2015-12-09 09:06:25.518293,Drive Thru,4,SIM
2015-12-09 09:09:43.114153,Lobby,3,SIM
2015-12-09 09:09:43.114153,Stockroom,2,SIM
2015-12-09 09:09:43.114153,Drive Thru,3,SIM
2015-12-09 09:16:32.500674,Lobby,6,SIM
2015-12-09 09:16:32.500674,Stockroom,2,SIM
2015-12-09 09:16:32.500674,Drive Thru,6,SIM
2015-12-09 09:27:51.716481,Lobby,11,SIM
2015-12-09 09:27:51.716481,Stockroom,2,SIM
2015-12-09 09:27:51.716481,Drive Thru,11,SIM
